Champion,Pos,GP,P%,B%,W%,CTR%,K,D,A,KDA,KP,DTH%,FB%,GD10,XPD10,CSD10,CSPM,CS%P15,DPM,DMG%,GOLD%,WPM,WCPM,Cluster,PC1,PC2,Pos_Color,Presence,Meta_Tier
Aatrox,Top,5,6.3,2.5,60.0,100.0,3.4,2.2,6.0,4.3,62.7,20.8,0.0,-108.0,180.0,-1.4,7.8,23.0,644.0,22.1,21.7,0.36,0.17,1,1.1441128854152873,-0.5932435188196312,0,8.8,C
Ahri,Middle,1,1.3,2.5,100.0,100.0,6.0,2.0,7.0,6.5,54.2,28.6,0.0,312.0,334.0,14.0,8.8,21.1,765.0,27.3,22.0,0.34,0.44,3,1.8774321220490848,0.003794253928339047,2,3.8,C
Akali,Middle,5,6.3,6.3,40.0,100.0,5.8,3.0,5.2,3.7,70.5,23.1,40.0,-181.0,-128.0,-3.2,7.6,21.7,652.0,23.8,22.4,0.28,0.21,1,1.2390082614367752,-0.4641462512666358,2,12.6,B
Alistar,Support,24,30.0,31.3,54.0,29.0,0.5833333333333334,4.291666666666667,11.25,2.8,77.6,29.3,29.0,-76.0,66.0,-0.2,0.9,1.7,179.0,6.6,9.3,1.86,0.31,2,-4.977745054681083,-0.14058538759922937,4,61.3,A
Ambessa,Top,18,22.5,30.0,39.0,61.0,3.2222222222222223,3.6666666666666665,4.833333333333333,2.2,55.1,19.9,11.0,-31.0,56.0,-0.9,7.9,24.5,656.0,24.0,21.9,0.29,0.17,1,1.2503091408034304,-1.683944595252857,0,52.5,A
Anivia,Middle,4,5.0,0.0,50.0,100.0,1.75,2.25,5.75,3.3,68.2,16.4,0.0,-301.0,-246.0,0.0,8.3,24.0,679.0,23.0,22.1,0.42,0.28,1,0.9114740152060813,-0.4311781320632669,2,5.0,C
Annie,Middle,4,5.0,11.3,0.0,100.0,0.75,4.5,3.25,0.9,55.2,21.7,50.0,-7.0,157.0,0.3,7.1,19.4,602.0,23.3,20.1,0.35,0.17,1,0.26781778931006156,-2.3704554732599274,2,16.3,C
Ashe,ADC,4,5.0,0.0,75.0,75.0,4.0,3.25,8.0,3.7,66.7,22.0,25.0,263.0,486.0,11.8,8.3,26.4,703.0,23.1,23.4,0.45,0.45,3,1.2296872923726545,0.0949651068652595,3,5.0,C
Aurora,Middle,16,20.0,26.3,44.0,19.0,3.8125,2.625,5.9375,3.7,72.6,17.1,19.0,-193.0,-225.0,-5.1,8.0,23.2,696.0,27.1,22.3,0.29,0.26,1,1.3305187231990496,-0.05546710516420724,2,46.3,B
Aurora,Top,1,1.3,26.3,100.0,100.0,4.0,3.0,7.0,3.7,57.9,27.3,0.0,-108.0,-3.0,3.0,7.8,22.9,811.0,28.9,20.7,0.55,0.16,1,1.401213601603563,-1.2531631782670873,0,27.6,B
Azir,Middle,14,17.5,63.7,50.0,36.0,3.642857142857143,2.857142857142857,5.285714285714286,3.1,61.6,18.7,14.0,46.0,-13.0,-2.4,8.7,26.8,722.0,25.9,24.2,0.45,0.28,1,1.6863585254514357,-0.637239564503438,2,81.2,S
