Champion,Position,Picks,Win_Rate,Pick_Rate,Ban_Rate,Counter_Pick_Rate,Presence
Yunara,ADC,15,0.67,0.188,0.7,0.07,71
Azir,Middle,14,0.5,0.175,0.637,0.36,65
Orianna,Middle,19,0.58,0.23800000000000002,0.563,0.21,64
Neeko,Support,19,0.63,0.23800000000000002,0.45,0.16,55
Sion,Top,21,0.67,0.263,0.38799999999999996,0.1,52
Poppy,Support,8,0.88,0.1,0.5379999999999999,0.13,51
Alistar,Support,24,0.54,0.3,0.313,0.29,49
Wukong,Jungle,21,0.57,0.263,0.35,0.14,49
Poppy,Top,3,0.67,0.038,0.5379999999999999,1.0,46
Poppy,Jungle,2,0.5,0.025,0.5379999999999999,0.5,45
Qiyana,Jungle,15,0.47,0.188,0.35,0.67,43
Ambessa,Top,18,0.39,0.225,0.3,0.61,42
Taliyah,Middle,22,0.5,0.275,0.225,0.55,40
Ryze,Middle,22,0.36,0.275,0.188,0.23,37
Aurora,Middle,16,0.44,0.2,0.263,0.19,37
Xin Zhao,Jungle,28,0.61,0.35,0.1,0.71,36
Caitlyn,ADC,15,0.33,0.188,0.263,0.47,36
Kai'Sa,ADC,18,0.33,0.225,0.213,0.44,35
Bard,Support,12,0.5,0.15,0.287,0.67,35
Rakan,Support,21,0.48,0.263,0.15,0.48,33
Vi,Jungle,16,0.31,0.2,0.213,0.44,33
Rumble,Top,20,0.5,0.25,0.15,0.05,32
Braum,Support,16,0.5,0.2,0.188,0.44,31
K'Sante,Top,26,0.35,0.325,0.063,0.35,31
Sivir,ADC,13,0.38,0.163,0.2,0.46,29
Trundle,Jungle,17,0.59,0.213,0.15,0.47,29
Corki,ADC,21,0.52,0.263,0.1,0.38,29
Jarvan IV,Jungle,21,0.52,0.263,0.063,0.33,26
Ezreal,ADC,15,0.53,0.188,0.113,0.73,24
Galio,Middle,9,0.67,0.113,0.163,0.56,22
Aurora,Top,1,1.0,0.013000000000000001,0.263,1.0,22
Renekton,Top,13,0.46,0.163,0.113,0.23,22
Leona,Support,15,0.53,0.188,0.075,0.73,21
Xayah,ADC,11,0.55,0.138,0.1,0.73,19
Rek'Sai,Top,15,0.53,0.188,0.05,0.93,19
Nautilus,Support,11,0.36,0.138,0.08800000000000001,0.82,18
Cassiopeia,Middle,8,0.5,0.1,0.113,0.75,17
Ornn,Top,11,0.64,0.138,0.075,0.73,17
Galio,Top,3,1.0,0.038,0.163,1.0,16
Karma,Support,5,0.4,0.063,0.138,0.8,16
Pantheon,Jungle,11,0.36,0.138,0.063,0.45,16
Varus,ADC,13,0.77,0.163,0.038,0.38,16
Yone,Middle,5,0.8,0.063,0.113,1.0,14
Ziggs,ADC,7,0.43,0.08800000000000001,0.08800000000000001,0.57,14
Annie,Middle,4,0.0,0.05,0.113,1.0,13
Draven,ADC,5,0.4,0.063,0.1,0.8,13
Lucian,ADC,9,0.44,0.113,0.038,0.56,12
Rell,Support,9,0.44,0.113,0.038,0.56,12
LeBlanc,Middle,4,0.75,0.05,0.08800000000000001,0.75,11
Akali,Middle,5,0.4,0.063,0.063,1.0,10
Mordekaiser,Top,8,0.38,0.1,0.025,0.88,10
Lulu,Support,4,0.25,0.05,0.063,0.5,9
Yorick,Top,3,0.0,0.038,0.075,0.33,9
Ziggs,Middle,2,1.0,0.025,0.08800000000000001,1.0,9
Viktor,Middle,7,0.57,0.08800000000000001,0.025,0.43,9
Renata Glasc,Support,3,1.0,0.038,0.063,0.67,8
Jhin,ADC,4,0.5,0.05,0.05,0.75,8
Jax,Top,5,0.4,0.063,0.038,1.0,8
Aatrox,Top,5,0.6,0.063,0.025,1.0,7
Nocturne,Jungle,4,0.75,0.05,0.025,0.75,6
Hwei,Middle,3,0.67,0.038,0.038,0.67,6
Pantheon,Support,1,0.0,0.013000000000000001,0.063,1.0,6
Sylas,Middle,4,0.0,0.05,0.025,0.75,6
Nami,Support,5,0.2,0.063,0.0,0.8,5
Dr. Mundo,Jungle,5,1.0,0.063,0.0,0.6,5
Naafiri,Jungle,5,0.6,0.063,0.0,0.6,5
Maokai,Jungle,2,0.0,0.025,0.038,1.0,5
Skarner,Jungle,4,0.0,0.05,0.013000000000000001,0.0,5
Sejuani,Jungle,4,0.0,0.05,0.0,0.75,4
Anivia,Middle,4,0.5,0.05,0.0,1.0,4
Ashe,ADC,4,0.75,0.05,0.0,0.75,4
Smolder,Middle,2,0.5,0.025,0.025,1.0,4
Syndra,Middle,3,0.33,0.038,0.013000000000000001,1.0,4
Zoe,Middle,1,1.0,0.013000000000000001,0.025,0.0,3
Ahri,Middle,1,1.0,0.013000000000000001,0.025,1.0,3
Kalista,ADC,2,1.0,0.025,0.013000000000000001,0.0,3
Lee Sin,0,0,0.0,0.0,0.038,0.0,3
Smolder,ADC,1,0.0,0.013000000000000001,0.025,1.0,3
Blitzcrank,Support,1,0.0,0.013000000000000001,0.025,1.0,3
Camille,Top,3,0.67,0.038,0.0,1.0,3
Mel,Middle,3,1.0,0.038,0.0,0.33,3
Miss Fortune,ADC,2,0.5,0.025,0.013000000000000001,1.0,3
Jayce,Top,1,0.0,0.013000000000000001,0.013000000000000001,1.0,2
Nidalee,Jungle,1,1.0,0.013000000000000001,0.013000000000000001,1.0,2
Zeri,ADC,1,1.0,0.013000000000000001,0.013000000000000001,1.0,2
Pyke,0,0,0.0,0.0,0.025,0.0,2
Gwen,Top,1,1.0,0.013000000000000001,0.013000000000000001,1.0,2
Viego,Jungle,2,0.5,0.025,0.0,1.0,2
Vayne,ADC,2,0.5,0.025,0.0,1.0,2
Kled,Top,1,0.0,0.013000000000000001,0.013000000000000001,1.0,2
Tristana,0,0,0.0,0.0,0.025,0.0,2
Twisted Fate,0,0,0.0,0.0,0.013000000000000001,0.0,1
Elise,Support,1,0.0,0.013000000000000001,0.0,0.0,1
Seraphine,Support,1,1.0,0.013000000000000001,0.0,1.0,1
Kassadin,Middle,1,0.0,0.013000000000000001,0.0,1.0,1
Lillia,0,0,0.0,0.0,0.013000000000000001,0.0,1
Zed,Jungle,1,0.0,0.013000000000000001,0.0,1.0,1
Soraka,Support,1,0.0,0.013000000000000001,0.0,1.0,1
Swain,Middle,1,0.0,0.013000000000000001,0.0,1.0,1
Tahm Kench,Support,1,0.0,0.013000000000000001,0.0,1.0,1
Gnar,Top,1,1.0,0.013000000000000001,0.0,1.0,1
Senna,ADC,1,0.0,0.013000000000000001,0.0,1.0,1
Gragas,Top,1,1.0,0.013000000000000001,0.0,0.0,1
Volibear,0,0,0.0,0.0,0.013000000000000001,0.0,1
Jinx,ADC,1,0.0,0.013000000000000001,0.0,0.0,1
Thresh,Support,1,0.0,0.013000000000000001,0.0,1.0,1
Morgana,Support,1,0.0,0.013000000000000001,0.0,1.0,1
Vex,0,0,0.0,0.0,0.013000000000000001,0.0,1
Ivern,Jungle,1,0.0,0.013000000000000001,0.0,1.0,1
