Date,Patch,Blue_Team,Red_Team,Winner,Blue_Bans,Red_Bans,Blue_Picks,Red_Picks,Blue_Roster,Red_Roster,Series_ID
2025-11-09,25.20,KT Rolster,T1,T1,"['Bard', 'Draven', 'Ornn', ""Kai'Sa"", 'Jhin']","['Azir', 'Orianna', 'Yone', 'Maokai', 'Skarner']","['Yorick', 'Sejuani', 'Smolder', 'Ziggs', 'Nautilus']","['Camille', 'Pantheon', 'Galio', 'Miss Fortune', 'Leona']","PerfecT,Cuzz,Bdd,deokdam,Peter","Doran,Oner,Faker,Gumayusi,Keria",1
2025-11-09,25.20,T1,KT Rolster,T1,"['Yone', 'Pantheon', 'Ziggs', 'Ornn', 'Yorick']","['Bard', 'Azir', 'Orianna', 'Galio', 'Hwei']","['Gragas', 'Nocturne', 'Anivia', 'Kalista', 'Renata Glasc']","['Mordekaiser', 'Trundle', 'Cassiopeia', 'Caitlyn', 'Tahm Kench']","Doran,Oner,Faker,Gumayusi,Keria","PerfecT,Cuzz,Bdd,deokdam,Peter",1
2025-11-09,25.20,T1,KT Rolster,KT Rolster,"['Yone', 'Trundle', 'Pantheon', 'Zoe', 'Cassiopeia']","['Bard', 'Azir', 'Orianna', 'Lillia', 'Galio']","['Renekton', 'Viego', 'Viktor', 'Yunara', 'Rakan']","[""K'Sante"", 'Dr. Mundo', 'Syndra', 'Corki', 'Alistar']","Doran,Oner,Faker,Gumayusi,Keria","PerfecT,Cuzz,Bdd,deokdam,Peter",1
2025-11-09,25.20,KT Rolster,T1,KT Rolster,"['Bard', 'Trundle', 'Caitlyn', 'Alistar', 'Galio']","['Azir', 'Orianna', 'Yunara', 'Yone', ""Kai'Sa""]","[""Rek'Sai"", 'Vi', 'Mel', 'Ezreal', 'Neeko']","['Sion', 'Jarvan IV', 'Sylas', 'Sivir', 'Lulu']","PerfecT,Cuzz,Bdd,deokdam,Peter","Doran,Oner,Faker,Gumayusi,Keria",1
2025-11-09,25.20,KT Rolster,T1,T1,"['Bard', 'Neeko', 'Yunara', 'Alistar', 'Renata Glasc']","['Azir', 'Orianna', 'Yone', 'Ezreal', 'Sivir']","['Rumble', 'Wukong', 'Ryze', 'Ashe', 'Braum']","['Ambessa', 'Xin Zhao', 'Taliyah', 'Varus', 'Poppy']","PerfecT,Cuzz,Bdd,deokdam,Peter","Doran,Oner,Faker,Gumayusi,Keria",1
2025-11-02,25.20,Top Esports,T1,T1,"['Taliyah', 'Bard', 'Poppy', 'Braum', 'Alistar']","['Azir', 'Yone', 'Yunara', 'Ezreal', 'Ziggs']","['Ornn', 'Qiyana', 'Aurora', 'Draven', 'Nautilus']","['Sion', 'Pantheon', 'Mel', 'Ashe', 'Renata Glasc']","369,Kanavi,Creme,JackeyLove,Hang","Doran,Oner,Faker,Gumayusi,Keria",2
2025-11-02,25.20,Top Esports,T1,T1,"['Taliyah', 'Bard', 'Poppy', 'Vi', 'Caitlyn']","['Azir', 'Yone', 'Yunara', 'Alistar', 'Qiyana']","['Ambessa', 'Trundle', 'Ryze', 'Corki', 'Nami']","['Camille', 'Jarvan IV', 'Galio', ""Kai'Sa"", 'Neeko']","369,Kanavi,Creme,JackeyLove,Hang","Doran,Oner,Faker,Gumayusi,Keria",2
2025-11-02,25.20,T1,Top Esports,T1,"['Yone', 'Yunara', 'Sion', 'Ambessa', 'Neeko']","['Azir', 'Poppy', 'Bard', 'Renekton', 'Alistar']","['Mordekaiser', 'Xin Zhao', 'Orianna', 'Varus', 'Rakan']","[""K'Sante"", 'Wukong', 'Akali', 'Sivir', 'Karma']","Doran,Oner,Faker,Gumayusi,Keria","369,Kanavi,Creme,JackeyLove,Hang",2
2025-11-01,25.20,Gen.G,KT Rolster,KT Rolster,"['Trundle', 'Ziggs', 'Zoe', 'Syndra', 'Renekton']","['Wukong', 'Yunara', 'Nidalee', 'Hwei', 'Aurora']","['Yorick', 'Skarner', 'Anivia', 'Lucian', 'Braum']","['Ornn', 'Dr. Mundo', 'Cassiopeia', 'Kalista', 'Renata Glasc']","Kiin,Canyon,Chovy,Ruler,Duro","PerfecT,Cuzz,Bdd,deokdam,Peter",3
2025-11-01,25.20,KT Rolster,Gen.G,KT Rolster,"['Aurora', ""Kai'Sa"", 'Trundle', 'Blitzcrank', 'Bard']","['Wukong', 'Yunara', 'Braum', 'Zeri', 'Kalista']","[""K'Sante"", 'Poppy', 'Azir', 'Ashe', 'Lulu']","['Aatrox', 'Pantheon', 'Orianna', 'Sivir', 'Leona']","PerfecT,Cuzz,Bdd,deokdam,Peter","Kiin,Canyon,Chovy,Ruler,Duro",3
2025-11-01,25.20,Gen.G,KT Rolster,Gen.G,"['Trundle', 'Renekton', 'Azir', 'Sivir', ""K'Sante""]","['Wukong', 'Orianna', 'Yunara', 'Poppy', 'Braum']","['Ambessa', 'Xin Zhao', 'Galio', 'Ezreal', 'Nautilus']","[""Rek'Sai"", 'Qiyana', 'Ryze', 'Varus', 'Alistar']","Kiin,Canyon,Chovy,Ruler,Duro","PerfecT,Cuzz,Bdd,deokdam,Peter",3
2025-11-01,25.20,Gen.G,KT Rolster,KT Rolster,"['Azir', 'Yunara', 'Xin Zhao', 'Ezreal', 'Sivir']","['Orianna', 'Wukong', 'Galio', 'Poppy', 'Alistar']","['Sion', 'Vi', 'Taliyah', 'Corki', 'Rakan']","['Rumble', 'Jarvan IV', 'Yone', 'Caitlyn', 'Neeko']","Kiin,Canyon,Chovy,Ruler,Duro","PerfecT,Cuzz,Bdd,deokdam,Peter",3
2025-10-31,25.20,Anyone's Legend,T1,T1,"['Azir', 'Caitlyn', 'Miss Fortune', 'Pyke', 'Alistar']","['Trundle', 'Orianna', 'Yunara', 'Jax', 'Akali']","['Aatrox', 'Sejuani', 'Syndra', 'Jinx', 'Lulu']","['Renekton', 'Dr. Mundo', 'Mel', 'Ashe', 'Seraphine']","Flandre,Tarzan,Shanks,Hope,Kael","Doran,Oner,Faker,Gumayusi,Keria",4
2025-10-31,25.20,T1,Anyone's Legend,T1,"['Trundle', 'Alistar', 'Smolder', 'Cassiopeia', 'Aatrox']","['Orianna', 'Azir', 'Yunara', 'Twisted Fate', 'Hwei']","['Ornn', 'Nocturne', 'Viktor', ""Kai'Sa"", 'Neeko']","['Mordekaiser', 'Skarner', 'LeBlanc', 'Corki', 'Leona']","Doran,Oner,Faker,Gumayusi,Keria","Flandre,Tarzan,Shanks,Hope,Kael",4
2025-10-31,25.20,T1,Anyone's Legend,Anyone's Legend,"['Trundle', 'Alistar', 'Corki', 'Cassiopeia', ""Kai'Sa""]","['Orianna', 'Azir', 'Yunara', 'Leona', 'Pyke']","[""K'Sante"", 'Vi', 'Sylas', 'Ziggs', 'Blitzcrank']","['Aurora', 'Jarvan IV', 'Yone', 'Jhin', 'Bard']","Doran,Oner,Faker,Gumayusi,Keria","Flandre,Tarzan,Shanks,Hope,Kael",4
