Champion,vs,Games,Win_Rate
Orianna,Aurora,2,1.0
LeBlanc,Taliyah,3,1.0
Galio,Ryze,2,1.0
Aurora,Ryze,2,1.0
Aurora,Annie,3,1.0
Azir,Aurora,2,1.0
Orianna,Galio,3,0.6666666666666666
Azir,Taliyah,3,0.6666666666666666
Taliyah,Ryze,9,0.6666666666666666
Orianna,Akali,5,0.6
Orianna,Azir,7,0.5714285714285714
Aurora,Taliyah,4,0.5
Syndra,Viktor,2,0.5
Anivia,Cassiopeia,2,0.5
Cassiopeia,Anivia,2,0.5
Cassiopeia,Ryze,6,0.5
Smolder,Galio,2,0.5
Galio,Smolder,2,0.5
Taliyah,Aurora,4,0.5
Viktor,Syndra,2,0.5
Ryze,Cassiopeia,6,0.5
Azir,Orianna,7,0.42857142857142855
Akali,Orianna,5,0.4
Taliyah,Azir,3,0.3333333333333333
Galio,Orianna,3,0.3333333333333333
Ryze,Taliyah,9,0.3333333333333333
Taliyah,LeBlanc,3,0.0
Aurora,Orianna,2,0.0
Aurora,Azir,2,0.0
Ryze,Aurora,2,0.0
Ryze,Galio,2,0.0
Annie,Aurora,3,0.0
