Champion,vs,Games,Win_Rate
Poppy,K'Sante,2,1.0
Rek'Sai,Renekton,2,1.0
Rumble,K'Sante,5,1.0
Sion,K'Sante,2,1.0
Sion,Ambessa,5,1.0
Rumble,Sion,2,1.0
Galio,Rumble,3,1.0
Ambessa,Rumble,5,0.8
K'Sante,Mordekaiser,3,0.6666666666666666
Rek'Sai,K'Sante,3,0.6666666666666666
Ornn,Rumble,5,0.6
Renekton,K'Sante,5,0.6
Sion,Rek'Sai,7,0.5714285714285714
Aatrox,Renekton,2,0.5
Ambessa,Rek'Sai,2,0.5
Rek'Sai,Ambessa,2,0.5
Mordekaiser,Sion,2,0.5
Renekton,Aatrox,2,0.5
Sion,Mordekaiser,2,0.5
Rek'Sai,Sion,7,0.42857142857142855
Rumble,Ornn,5,0.4
K'Sante,Renekton,5,0.4
Mordekaiser,K'Sante,3,0.3333333333333333
K'Sante,Rek'Sai,3,0.3333333333333333
Rumble,Ambessa,5,0.2
Rumble,Galio,3,0.0
K'Sante,Sion,2,0.0
K'Sante,Poppy,2,0.0
Ambessa,Sion,5,0.0
K'Sante,Rumble,5,0.0
Renekton,Rek'Sai,2,0.0
Sion,Rumble,2,0.0
