"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","TDPG","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"369","Top Esports","Top",16,"44%","44%",46,48,79,2.6,"57.3%","21.1%","18.0%","13%",-49,86,0.2,7.9,"23.3%",641,"22.2%","20.5%",2552,262,"22.2%",0,0.33,0.14,0.13
"Alvaro","Movistar KOI","Support",10,"40%","50%",5,31,109,3.7,"78.6%","3.4%","22.1%","40%",14,-343,-3.3,1,"2.4%",223,"8.8%","8.0%",547,116,"9.7%",0,1.86,0.48,0.49
"Azhi","PSG Talon","Top",5,"20%","40%",11,21,17,1.3,"49.1%","19.3%","20.6%","20%",203,43,4.8,7.2,"21.9%",605,"24.8%","21.3%",1785,219,"21.1%",0,0.4,0.14,0.13
"Bdd","KT Rolster","Middle",16,"75%","44%",82,34,140,6.5,"77.9%","28.8%","17.0%","50%",189,214,7.4,8.7,"27.2%",705,"25.0%","24.0%",3844,309,"24.7%",1,0.48,0.21,0.18
"Beichuan","Bilibili Gaming","Jungle",2,"0%","50%",4,11,17,1.9,"67.7%","12.9%","25.0%","0%",118,335,7.5,6.2,"18.1%",418,"15.6%","16.4%",1866,200,"18.0%",0,0.22,0.19,0.24
"Betty","PSG Talon","ADC",5,"20%","40%",16,18,19,1.9,"61.4%","28.1%","17.6%","20%",-157,-186,-5.6,9,"30.3%",675,"26.5%","30.5%",1184,266,"24.9%",0,0.36,0.11,0.35
"Bin","Bilibili Gaming","Top",8,"50%","50%",29,22,34,2.9,"52.5%","24.2%","18.8%","25%",156,-160,8.8,8.4,"24.6%",457,"17.0%","13.5%",5429,286,"23.4%",0,0.33,0.11,0.14
"Boal","Vivo Keyd Stars","Top",7,"29%","57%",18,16,35,3.3,"51.0%","17.3%","12.5%","29%",-319,28,-10.4,7.4,"22.3%",481,"19.4%","17.3%",918,217,"19.8%",0,0.4,0.2,0.17
"BrokenBlade","G2 Esports","Top",10,"50%","50%",21,23,43,2.8,"53.8%","17.6%","17.8%","10%",-257,-248,-6.4,7.6,"23.4%",500,"19.8%","18.1%",2606,236,"21.0%",0,0.39,0.18,0.2
"Busio","FlyQuest","Support",8,"38%","63%",6,27,68,2.7,"73.3%","5.9%","23.3%","13%",25,143,-0.8,0.8,"1.7%",214,"7.9%","7.1%",177,105,"9.0%",0,1.84,0.32,0.3
"Bwipo","FlyQuest","Top",8,"38%","38%",21,27,35,2.1,"55.4%","20.8%","23.3%","25%",122,168,4.1,7.8,"22.0%",653,"23.8%","21.2%",1685,245,"21.5%",0,0.46,0.16,0.14
"Canyon","Gen.G","Jungle",13,"62%","15%",34,32,126,5,"72.7%","15.5%","18.2%","23%",-66,26,1.1,6.6,"18.7%",413,"14.9%","16.4%",2399,230,"18.6%",1,0.39,0.33,0.29
"Caps","G2 Esports","Middle",10,"50%","70%",33,30,51,2.8,"70.6%","27.7%","23.3%","20%",-120,-49,-0.9,8.4,"24.6%",720,"28.0%","29.8%",2875,266,"23.3%",0,0.34,0.12,0.28
"Chovy","Gen.G","Middle",13,"62%","62%",54,31,121,5.6,"79.5%","24.5%","17.6%","31%",87,133,3.2,8.9,"26.7%",789,"28.7%","28.9%",3866,293,"23.9%",0,0.49,0.15,0.37
